iter	MultiClass
0	1.032190939
1	0.9729507162
2	0.9179403406
3	0.8738213178
4	0.8346327942
5	0.8030457498
6	0.7731132773
7	0.7420080153
8	0.7184232083
9	0.6966540142
10	0.6753332286
11	0.6566557246
12	0.6396140031
13	0.6237528467
14	0.6078958349
15	0.5944729568
16	0.585235607
17	0.5759305078
18	0.5649622887
19	0.556388069
20	0.5461901499
21	0.5367042165
22	0.5296204225
23	0.5214842397
24	0.5157232452
25	0.5099566956
26	0.504739092
27	0.498853019
28	0.4929834832
29	0.4879486358
30	0.4828630598
31	0.4781798093
32	0.4740973435
33	0.4694915906
34	0.4664940385
35	0.4618499074
36	0.4568292857
37	0.4531822579
38	0.4495089725
39	0.4458253112
40	0.4431635223
41	0.4394383993
42	0.4374306473
43	0.4342299466
44	0.431942864
45	0.4298446673
46	0.4263958808
47	0.4242124822
48	0.421379573
49	0.4192429103
50	0.4175887379
51	0.4155314284
52	0.4127779495
53	0.409856116
54	0.4080564463
55	0.4059852024
56	0.4046284134
57	0.4028747692
58	0.4005897043
59	0.3990826514
60	0.3974717218
61	0.3957105097
62	0.3919091564
63	0.3895387534
64	0.3884920768
65	0.3867341297
66	0.3839388548
67	0.3824709011
68	0.3795008831
69	0.3782286364
70	0.3766692771
71	0.3741893565
72	0.3720861018
73	0.3704306924
74	0.3685132748
75	0.366661254
76	0.3649177694
77	0.3635803884
78	0.362783072
79	0.3610350159
80	0.3585984795
81	0.3557438064
82	0.3535180464
83	0.3519694244
84	0.3503365987
85	0.3484743027
86	0.3464764717
87	0.3453028368
88	0.3426290613
89	0.3415495818
90	0.3392025266
91	0.3379717852
92	0.3358217974
93	0.3332259931
94	0.3319074306
95	0.330007947
96	0.3279239642
97	0.3269092027
98	0.3260512501
99	0.32452343
