iter	Passed	Remaining
0	0	98
1	1	77
2	2	69
3	2	64
4	3	61
5	3	59
6	4	57
7	4	57
8	5	56
9	6	55
10	6	55
11	7	52
12	7	53
13	8	52
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	46
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	22	39
36	22	39
37	23	38
38	24	38
39	25	38
40	26	37
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	22
67	45	21
68	46	20
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
